"plant","spec","treat","conc","photo"
"1","Lolium perenne","nonchilled",95,16
"1","Lolium perenne","nonchilled",175,30.4
"1","Lolium perenne","nonchilled",250,34.8
"1","Lolium perenne","nonchilled",350,37.2
"1","Lolium perenne","nonchilled",500,35.3
"1","Lolium perenne","nonchilled",675,39.2
"1","Lolium perenne","nonchilled",1000,39.7
"2","Lolium perenne","nonchilled",95,13.6
"2","Lolium perenne","nonchilled",175,27.3
"2","Lolium perenne","nonchilled",250,37.1
"2","Lolium perenne","nonchilled",350,41.8
"2","Lolium perenne","nonchilled",500,40.6
"2","Lolium perenne","nonchilled",675,41.4
"2","Lolium perenne","nonchilled",1000,44.3
"3","Lolium perenne","nonchilled",95,16.2
"3","Lolium perenne","nonchilled",175,32.4
"3","Lolium perenne","nonchilled",250,40.3
"3","Lolium perenne","nonchilled",350,42.1
"3","Lolium perenne","nonchilled",500,42.9
"3","Lolium perenne","nonchilled",675,43.9
"3","Lolium perenne","nonchilled",1000,45.5
"1","Lolium perenne","chilled",95,14.2
"1","Lolium perenne","chilled",175,24.1
"1","Lolium perenne","chilled",250,30.3
"1","Lolium perenne","chilled",350,34.6
"1","Lolium perenne","chilled",500,32.5
"1","Lolium perenne","chilled",675,35.4
"1","Lolium perenne","chilled",1000,38.7
"2","Lolium perenne","chilled",95,9.3
"2","Lolium perenne","chilled",175,27.3
"2","Lolium perenne","chilled",250,35
"2","Lolium perenne","chilled",350,38.8
"2","Lolium perenne","chilled",500,38.6
"2","Lolium perenne","chilled",675,37.5
"2","Lolium perenne","chilled",1000,42.4
"3","Lolium perenne","chilled",95,15.1
"3","Lolium perenne","chilled",175,21
"3","Lolium perenne","chilled",250,38.1
"3","Lolium perenne","chilled",350,34
"3","Lolium perenne","chilled",500,38.9
"3","Lolium perenne","chilled",675,39.6
"3","Lolium perenne","chilled",1000,41.4
"1","Dactylis glomerata","nonchilled",95,10.6
"1","Dactylis glomerata","nonchilled",175,19.2
"1","Dactylis glomerata","nonchilled",250,26.2
"1","Dactylis glomerata","nonchilled",350,30
"1","Dactylis glomerata","nonchilled",500,30.9
"1","Dactylis glomerata","nonchilled",675,32.4
"1","Dactylis glomerata","nonchilled",1000,35.5
"2","Dactylis glomerata","nonchilled",95,12
"2","Dactylis glomerata","nonchilled",175,22
"2","Dactylis glomerata","nonchilled",250,30.6
"2","Dactylis glomerata","nonchilled",350,31.8
"2","Dactylis glomerata","nonchilled",500,32.4
"2","Dactylis glomerata","nonchilled",675,31.1
"2","Dactylis glomerata","nonchilled",1000,31.5
"3","Dactylis glomerata","nonchilled",95,11.3
"3","Dactylis glomerata","nonchilled",175,19.4
"3","Dactylis glomerata","nonchilled",250,25.8
"3","Dactylis glomerata","nonchilled",350,27.9
"3","Dactylis glomerata","nonchilled",500,28.5
"3","Dactylis glomerata","nonchilled",675,28.1
"3","Dactylis glomerata","nonchilled",1000,27.8
"1","Dactylis glomerata","chilled",95,10.5
"1","Dactylis glomerata","chilled",175,14.9
"1","Dactylis glomerata","chilled",250,18.1
"1","Dactylis glomerata","chilled",350,18.9
"1","Dactylis glomerata","chilled",500,19.5
"1","Dactylis glomerata","chilled",675,22.2
"1","Dactylis glomerata","chilled",1000,21.9
"2","Dactylis glomerata","chilled",95,7.7
"2","Dactylis glomerata","chilled",175,11.4
"2","Dactylis glomerata","chilled",250,12.3
"2","Dactylis glomerata","chilled",350,13
"2","Dactylis glomerata","chilled",500,12.5
"2","Dactylis glomerata","chilled",675,13.7
"2","Dactylis glomerata","chilled",1000,14.4
"3","Dactylis glomerata","chilled",95,10.6
"3","Dactylis glomerata","chilled",175,18
"3","Dactylis glomerata","chilled",250,17.9
"3","Dactylis glomerata","chilled",350,17.9
"3","Dactylis glomerata","chilled",500,17.9
"3","Dactylis glomerata","chilled",675,18.9
"3","Dactylis glomerata","chilled",1000,19.9
"1","Holcus mollis","nonchilled",95,19.6785701947566
"1","Holcus mollis","nonchilled",175,34.3689440658595
"1","Holcus mollis","nonchilled",250,39.3739122602437
"1","Holcus mollis","nonchilled",350,41.6524460559525
"1","Holcus mollis","nonchilled",500,36.367442243807
"1","Holcus mollis","nonchilled",675,42.5387574140262
"1","Holcus mollis","nonchilled",1000,44.0777979497146
"2","Holcus mollis","nonchilled",95,13.2734640578553
"2","Holcus mollis","nonchilled",175,27.3229344243463
"2","Holcus mollis","nonchilled",250,41.7198045270331
"2","Holcus mollis","nonchilled",350,43.3485473239142
"2","Holcus mollis","nonchilled",500,41.0894702223875
"2","Holcus mollis","nonchilled",675,44.8490961447637
"2","Holcus mollis","nonchilled",1000,48.9125086344592
"3","Holcus mollis","nonchilled",95,20.549609269416
"3","Holcus mollis","nonchilled",175,33.2474629448075
"3","Holcus mollis","nonchilled",250,40.5612699003704
"3","Holcus mollis","nonchilled",350,46.2419481980894
"3","Holcus mollis","nonchilled",500,45.7750820242614
"3","Holcus mollis","nonchilled",675,47.1349397387635
"3","Holcus mollis","nonchilled",1000,49.8768817809224
"1","Holcus mollis","chilled",95,7.30136396237649
"1","Holcus mollis","chilled",175,12.89517980651
"1","Holcus mollis","chilled",250,21.8765716709197
"1","Holcus mollis","chilled",350,23.580137569923
"1","Holcus mollis","chilled",500,21.582372408919
"1","Holcus mollis","chilled",675,27.9359455697238
"1","Holcus mollis","chilled",1000,27.9022346557118
"2","Holcus mollis","chilled",95,-0.615650660078972
"2","Holcus mollis","chilled",175,20.6000283447094
"2","Holcus mollis","chilled",250,24.9548627253156
"2","Holcus mollis","chilled",350,31.0134504598565
"2","Holcus mollis","chilled",500,28.5844154253136
"2","Holcus mollis","chilled",675,30.1943113623187
"2","Holcus mollis","chilled",1000,34.3440135805402
"3","Holcus mollis","chilled",95,4.84456941625103
"3","Holcus mollis","chilled",175,13.0527714552358
"3","Holcus mollis","chilled",250,31.0143992244266
"3","Holcus mollis","chilled",350,24.15468045054
"3","Holcus mollis","chilled",500,28.7220279641449
"3","Holcus mollis","chilled",675,28.1398073381279
"3","Holcus mollis","chilled",1000,29.9464770187158
"1","Cynosurus cristatus","nonchilled",95,8.29464869401418
"1","Cynosurus cristatus","nonchilled",175,21.5188733973075
"1","Cynosurus cristatus","nonchilled",250,28.1814149301965
"1","Cynosurus cristatus","nonchilled",350,31.5368158079218
"1","Cynosurus cristatus","nonchilled",500,29.198670015065
"1","Cynosurus cristatus","nonchilled",675,30.6329148298595
"1","Cynosurus cristatus","nonchilled",1000,37.0859063970856
"2","Cynosurus cristatus","nonchilled",95,12.655460198177
"2","Cynosurus cristatus","nonchilled",175,23.1528995609842
"2","Cynosurus cristatus","nonchilled",250,32.0462131645996
"2","Cynosurus cristatus","nonchilled",350,33.3609208412934
"2","Cynosurus cristatus","nonchilled",500,32.7703785233665
"2","Cynosurus cristatus","nonchilled",675,30.2550146369264
"2","Cynosurus cristatus","nonchilled",1000,32.2410859165248
"3","Cynosurus cristatus","nonchilled",95,11.666103235865
"3","Cynosurus cristatus","nonchilled",175,17.286885209009
"3","Cynosurus cristatus","nonchilled",250,24.1204719529022
"3","Cynosurus cristatus","nonchilled",350,27.6955618263222
"3","Cynosurus cristatus","nonchilled",500,29.9956258900929
"3","Cynosurus cristatus","nonchilled",675,25.9022574679926
"3","Cynosurus cristatus","nonchilled",1000,29.1885327149183
"1","Cynosurus cristatus","chilled",95,8.80521539319307
"1","Cynosurus cristatus","chilled",175,13.4504803515505
"1","Cynosurus cristatus","chilled",250,16.086263493076
"1","Cynosurus cristatus","chilled",350,20.8003499229439
"1","Cynosurus cristatus","chilled",500,17.8762414497323
"1","Cynosurus cristatus","chilled",675,22.9967444823589
"1","Cynosurus cristatus","chilled",1000,21.6974310640711
"2","Cynosurus cristatus","chilled",95,9.95341075565666
"2","Cynosurus cristatus","chilled",175,9.02551037711091
"2","Cynosurus cristatus","chilled",250,10.5355458417442
"2","Cynosurus cristatus","chilled",350,14.1723691201769
"2","Cynosurus cristatus","chilled",500,12.1048658969812
"2","Cynosurus cristatus","chilled",675,14.5101307984907
"2","Cynosurus cristatus","chilled",1000,14.0397604199592
"3","Cynosurus cristatus","chilled",95,8.30821165642701
"3","Cynosurus cristatus","chilled",175,19.8103017169051
"3","Cynosurus cristatus","chilled",250,18.5642079842277
"3","Cynosurus cristatus","chilled",350,19.5361633141059
"3","Cynosurus cristatus","chilled",500,19.0463434190955
"3","Cynosurus cristatus","chilled",675,17.5226710327901
